Winner,weight_class,B_avg_KD,B_avg_SUB_ATT,B_avg_SIG_STR_landed,B_avg_TD_att,B_avg_HEAD_landed,B_avg_BODY_landed,B_avg_LEG_landed,B_avg_DISTANCE_landed,B_avg_CLINCH_landed,B_avg_GROUND_landed,B_avg_CTRL_time.seconds.,B_total_title_bouts,B_longest_win_streak,B_wins,B_losses,B_win_by_KO.TKO,B_win_by_Submission,B_Reach_cms,B_age,B_current_streak,B_win_by_Decision,R_avg_KD,R_avg_SUB_ATT,R_avg_SIG_STR_landed,R_avg_TD_att,R_avg_HEAD_landed,R_avg_BODY_landed,R_avg_LEG_landed,R_avg_DISTANCE_landed,R_avg_CLINCH_landed,R_avg_GROUND_landed,R_avg_CTRL_time.seconds.,R_total_title_bouts,R_longest_win_streak,R_wins,R_losses,R_win_by_KO.TKO,R_win_by_Submission,R_Reach_cms,R_age,R_current_streak,R_win_by_Decision
Blue,Bantamweight,0.13671875,0.3046875,80.328125,1.810546875,64.26953125,12.75195313,3.306640625,73.74609375,4.166015625,2.416015625,85.453125,0,2,7,3,4,1,180.34,33,2,2,0.125,0.0703125,30.5234375,1.28125,22.4375,3.3671875,4.71875,29.5234375,0.5,0.5,15.1484375,1,4,5,3,2,1,170.18,32,-1,2
Blue,WomenBantamweight,0,0.125,82.5,0.75,60.25,10,12.25,75.875,6.5,0.125,36.875,1,2,2,2,0,0,167.64,29,-2,2,0.015625,0.75,67.65625,3.09375,44.109375,15.84375,7.703125,53.484375,2.59375,11.578125,228.0625,0,2,4,3,0,0,170.18,35,2,4
Red,Welterweight,0.875,0.0625,31.1875,1,28.0625,1.75,1.375,18.625,3.25,9.3125,67.0625,0,5,5,0,3,1,190.5,30,5,1,0.57232666,0,92.29534912,0.147460938,68.63000488,16.36566162,7.299682617,85.96551514,1.745544434,4.584289551,9.854797363,2,7,10,5,5,0,190.5,37,1,5
Red,Bantamweight,0.055419922,0.346435547,44.15576172,1.001525879,18.97650146,12.02233887,13.15692139,30.21484375,7.223632813,6.717285156,74.11621094,0,5,10,5,5,4,177.8,28,-1,1,0.032318115,0.00100708,64.41183472,0.643341064,34.61956787,19.70394897,10.08831787,61.86050415,2.164367676,0.386962891,2.252441406,12,7,10,6,4,0,177.8,34,7,6
Red,Welterweight,0.134765625,0.086914063,103.7539063,1.690429688,84.98925781,12.59179688,6.172851563,85.34277344,12.77636719,5.634765625,85.421875,0,3,7,4,1,1,182.88,30,2,5,0.093772888,0.18857193,49.95155716,0.521152496,33.64801407,9.462467194,6.841075897,44.02978134,3.868980408,2.05279541,18.86279297,4,5,10,9,3,4,182.88,33,-1,3
Red,Heavyweight,0.5,0,47.671875,0.75,27.109375,6.328125,14.234375,32.734375,0.25,14.6875,91.359375,0,2,4,3,3,0,203.2,32,-1,1,0.000488281,0.0078125,61.22998047,4.388183594,44.23193359,10.16699219,6.831054688,51.93603516,3.791015625,5.502929688,309.9345703,0,3,7,5,2,0,198.12,35,-1,5
Red,Middleweight,0.15637207,0.072631836,46.46728516,3.938964844,28.67199707,11.97241211,5.822875977,37.63269043,7.223266602,1.611328125,276.692749,0,5,9,5,4,4,182.88,41,5,1,0.3125,0.05859375,37.15625,1.87109375,25.84375,5.37109375,5.94140625,27.1875,3.96875,6,137,0,4,7,2,2,2,205.74,28,-1,3
Blue,Lightweight,0.375061154,1.254415959,31.11668479,0.930060476,19.72487697,6.756447226,4.635360599,23.8505426,2.71616137,4.549980819,22.94133711,0,7,17,9,2,14,187.96,31,2,1,0.004165649,0.193267822,119.7433167,0.085586548,64.15956116,28.54063416,27.04312134,117.2928925,0.931182861,1.519241333,1.422241211,3,12,15,2,3,6,193.04,36,3,4
Red,Featherweight,0.0078125,0.8359375,43.1015625,3.4921875,33.3671875,5.6484375,4.0859375,12.25,1.4296875,29.421875,233.375,0,2,4,4,1,3,175.26,35,2,0,0.004081726,0.003913879,111.7829132,0.593055725,64.57354736,26.24742889,20.96193695,93.78362274,15.91344452,2.085845947,46.94403839,0,6,11,7,4,0,177.8,37,-1,7
Red,Bantamweight,0.28125,0.03125,25.34375,2.46875,12.78125,3.6484375,8.9140625,19.140625,0.6875,5.515625,101.7890625,1,4,5,3,0,1,175.26,30,-1,4,0.250244141,0.119750977,29.9140625,0.938354492,13.23925781,15.82592773,0.848876953,25.88793945,1.697753906,2.328369141,38.74511719,0,4,7,7,3,2,172.72,29,1,2
Blue,Heavyweight,0.09375,0.140625,33.15625,1.140625,18.671875,7.125,7.359375,27.90625,3.8125,1.4375,50.4375,0,1,3,4,1,0,198.12,32,-1,2,0.50491333,0,55.71279907,0.136260986,32.31945801,7.692321777,15.70101929,45.0418396,0.05291748,10.61804199,79.58081055,0,2,7,9,4,0,193.04,35,-1,3
Blue,Middleweight,0,1.078125,59.8203125,2.53125,53.1484375,4.1875,2.484375,31.3515625,5.640625,22.828125,108.1171875,0,3,5,3,0,2,187.96,27,1,3,0,0.734375,26.84765625,3.51171875,15.11328125,4.6796875,7.0546875,21.31347656,3.373046875,2.161132813,74.03320313,0,4,8,3,3,3,195.58,32,1,2
Red,LightHeavyweight,0.033203125,0.001953125,55.75195313,7.353515625,20.10546875,32.72460938,2.921875,16.484375,31.3671875,7.900390625,261.1464844,0,2,6,4,0,0,190.5,30,-1,6,0.026855469,0.188232422,36.94433594,1.991821289,23.35766602,6.716186523,6.870483398,33.71276855,1.544311523,1.687255859,33.37634277,1,3,8,6,5,2,193.04,32,-1,1
Red,WomenFlyweight,0,0.140625,90.1484375,5.625,58.4609375,23.703125,7.984375,72.3828125,1.6953125,16.0703125,335.7421875,0,3,6,2,0,3,162.56,33,3,3,0.000976563,1.00390625,39.03613281,0.901367188,23.0859375,11.54980469,4.400390625,21.36621094,5.76171875,11.90820313,172.3330078,1,3,7,4,0,0,172.72,31,1,7
Red,WomenFlyweight,0.25,0.75,24.375,0.125,15,6.875,2.5,19.375,1.5,3.5,190.5,0,2,2,2,0,1,170.18,26,-2,1,0,0.75,32.75,0.25,19.125,9,4.625,22.625,8.75,1.375,71.5,0,1,2,2,0,1,170.18,36,1,1
Red,WomenFlyweight,0,0.5,41.25,0.5,28.6875,5.5,7.0625,36.3125,4.6875,0.25,76.8125,0,2,3,2,0,1,162.56,32,-1,2,0.125,0.1953125,41.71484375,3.015625,24.10742188,4.478515625,13.12890625,27.43359375,1.646484375,12.63476563,305.1679688,5,5,8,2,2,2,167.64,32,1,4
Red,Flyweight,1.03125,0.296875,26.828125,1.109375,13.46875,2.15625,11.203125,18.828125,3.6875,4.3125,97.21875,0,3,6,1,2,2,165.1,28,3,2,1.35546875,2.43359375,30.2109375,0.73046875,25.08203125,4.96875,0.16015625,15.1640625,1.578125,13.46875,94.4375,1,4,8,1,4,2,172.72,32,4,2
Blue,LightHeavyweight,0.125,0.951171875,17.69726563,1.865234375,11.04882813,4.60546875,2.04296875,12.1015625,3.4140625,2.181640625,44.19140625,0,1,5,5,0,5,193.04,32,1,0,0.223796844,0.000307083,41.48727512,3.514442444,23.97260189,6.770998001,10.74367523,32.22351742,3.498912811,5.764844894,255.9195404,3,3,11,10,8,0,193.04,38,-1,3
Blue,Welterweight,0.640992165,0.12506485,61.21786261,4.261185646,38.20680618,16.40863132,6.602425098,46.83891249,11.36525011,3.013700008,201.0749083,0,4,12,10,5,2,190.5,36,2,5,0.504882813,0,56.14526367,0.92578125,35.65795898,9.789550781,10.69775391,39.51538086,6.104248047,10.52563477,210.5629883,0,2,7,6,4,0,180.34,29,2,3
Blue,Lightweight,9.98E-05,0.261810858,45.30704788,3.017491903,21.11157264,11.66823801,12.52723724,37.87418014,5.616881534,1.815986209,101.0080489,4,5,18,11,4,4,177.8,36,-2,10,0.02355957,0.002929688,81.18774414,1.070678711,49.08178711,13.60437012,18.50158691,74.74865723,4.346679688,2.092407227,55.03601074,0,3,9,5,4,1,177.8,36,2,4
Blue,LightHeavyweight,0.501018524,0.738548279,85.17805481,3.757099152,70.1687088,10.49761963,4.511726379,39.9572525,9.690238953,35.53056335,323.5913734,1,5,14,5,5,5,193.04,41,5,3,0.520801544,0.03125,49.08913803,0.916156769,19.26737213,8.602039337,21.21972656,36.63156509,6.485481262,5.972091675,38.9940033,1,4,13,6,11,0,193.04,36,-1,2
Red,Heavyweight,0.25,0,40.875,0,14.75,7.75,18.375,36.125,0,4.75,3.25,0,2,3,1,2,0,190.5,29,1,1,2.41E-05,5.08E-07,52.1442176,0.133306743,27.23727353,10.18023722,14.72670684,49.25448655,2.832994479,0.056736574,10.20425235,5,7,18,14,9,2,195.58,41,1,7
Blue,WomenStrawweight,0,0,99.1875,3.375,67.5,14.3125,17.375,84.6875,7.125,7.375,181.4375,0,5,5,0,0,0,160.02,31,5,5,0.00390625,0.151367188,62.01074219,4.189453125,48.64550781,7.962890625,5.40234375,56.02929688,2.743164063,3.23828125,136.5751953,1,2,7,4,0,1,160.02,31,1,6
Blue,Lightweight,0.0625,0,32.3125,3.625,17.5625,13.5,1.25,25.25,5.6875,1.375,68.25,0,2,3,2,1,0,182.88,28,2,2,0,0,91.875,0,49.375,28.375,14.125,55.75,29.5,6.625,56.5,0,1,2,2,1,0,172.72,34,1,1
Blue,Heavyweight,0,0,49.34375,0.5,22.21875,7.65625,19.46875,46.46875,0.5,2.375,30.71875,0,2,3,3,2,0,203.2,32,-1,1,0.125,0.53125,40.53125,0,17.1875,7.28125,16.0625,38.375,2.03125,0.125,16.34375,0,3,4,2,1,2,203.2,34,3,1
Red,Middleweight,0.046875,0,13.53125,0,8.578125,3.390625,1.5625,13.046875,0.328125,0.15625,0.265625,0,1,3,4,1,0,185.42,30,1,2,0.5234375,0.142578125,51.890625,0.517578125,47.80859375,2.716796875,1.365234375,42.03125,2.31640625,7.54296875,45.3203125,0,3,7,3,2,1,193.04,29,2,4
