Winner,weight_class,B_avg_KD,B_avg_SUB_ATT,B_avg_TD_att,B_avg_DISTANCE_landed,B_avg_CLINCH_landed,B_avg_GROUND_landed,B_avg_CTRL_time.seconds.,B_total_title_bouts,B_longest_win_streak,B_losses,B_win_by_KO.TKO,B_win_by_Submission,B_Reach_cms,B_age,B_current_streak,B_win_by_Decision,R_avg_KD,R_avg_SUB_ATT,R_avg_TD_att,R_avg_DISTANCE_landed,R_avg_CLINCH_landed,R_avg_GROUND_landed,R_avg_CTRL_time.seconds.,R_total_title_bouts,R_longest_win_streak,R_losses,R_win_by_KO.TKO,R_win_by_Submission,R_Reach_cms,R_age,R_current_streak,R_win_by_Decision
Blue,Lightweight,9.98E-05,0.261810858,3.017491903,37.87418014,5.616881534,1.815986209,101.0080489,4,5,11,4,4,177.8,36,-2,10,0.02355957,0.002929688,1.070678711,74.74865723,4.346679688,2.092407227,55.03601074,0,3,5,4,1,177.8,36,2,4
Blue,LightHeavyweight,0.501018524,0.738548279,3.757099152,39.9572525,9.690238953,35.53056335,323.5913734,1,5,5,5,5,193.04,41,5,3,0.520801544,0.03125,0.916156769,36.63156509,6.485481262,5.972091675,38.9940033,1,4,6,11,0,193.04,36,-1,2
Red,Heavyweight,0.25,0,0,36.125,0,4.75,3.25,0,2,1,2,0,190.5,29,1,1,2.41E-05,5.08E-07,0.133306743,49.25448655,2.832994479,0.056736574,10.20425235,5,7,14,9,2,195.58,41,1,7
Blue,WomenStrawweight,0,0,3.375,84.6875,7.125,7.375,181.4375,0,5,0,0,0,160.02,31,5,5,0.00390625,0.151367188,4.189453125,56.02929688,2.743164063,3.23828125,136.5751953,1,2,4,0,1,160.02,31,1,6
Blue,Lightweight,0.0625,0,3.625,25.25,5.6875,1.375,68.25,0,2,2,1,0,182.88,28,2,2,0,0,0,55.75,29.5,6.625,56.5,0,1,2,1,0,172.72,34,1,1
Blue,Heavyweight,0,0,0.5,46.46875,0.5,2.375,30.71875,0,2,3,2,0,203.2,32,-1,1,0.125,0.53125,0,38.375,2.03125,0.125,16.34375,0,3,2,1,2,203.2,34,3,1
Red,Middleweight,0.046875,0,0,13.046875,0.328125,0.15625,0.265625,0,1,4,1,0,185.42,30,1,2,0.5234375,0.142578125,0.517578125,42.03125,2.31640625,7.54296875,45.3203125,0,3,3,2,1,193.04,29,2,4
Blue,Lightweight,0,1.125,3.25,12.75,2.125,3.875,64.875,0,1,2,0,1,177.8,25,-1,1,0.25012207,0.28137207,4.504516602,53.26721191,14.51086426,10.97265625,306.237915,0,4,6,1,1,180.34,34,4,6
Red,Middleweight,0.035560489,0.000368595,0.00013113,18.61405253,3.073669791,0.731938481,0.277187228,13,16,7,11,3,195.58,45,16,3,0.817016602,0.004150391,0.13861084,29.46966553,1.034973145,6.027404785,14.21820068,1,3,7,4,0,200.66,36,-2,2
Red,Featherweight,0.135253906,0.03137207,5.125305176,43.53857422,0.860351563,1.590026855,93.90869141,0,2,6,3,0,187.96,30,1,6,0,3.125,3.375,3.875,1,23.5,486.25,0,4,0,0,1,177.8,26,4,3
Red,Heavyweight,0.912841797,0.000976563,0.205200195,6.69934082,1.153564453,10.70605469,29.92333984,0,2,8,6,0,195.58,37,-3,0,0.09375,0,1.46875,55.6875,3.265625,3,48.5625,0,4,2,2,0,203.2,32,4,3
Red,LightHeavyweight,0.03125,0,1.375,9.453125,5.46875,5.1328125,30.5078125,0,2,4,3,0,190.5,26,-1,1,0.4375,0,1.125,13.75,2.375,7.0625,152.25,0,4,1,3,0,190.5,28,-1,1
Blue,Heavyweight,0.09375,0,0.0625,26.5625,7.125,0.0625,60.90625,0,3,3,2,0,190.5,27,3,1,0.00787735,0.266309023,1.003968954,30.0706284,3.914135218,0.380963802,37.29219007,0,4,10,5,6,213.36,32,-1,2
Red,Middleweight,0.876953125,0,0.0234375,11.46289063,2.98046875,10.0234375,20.546875,0,3,4,5,0,195.58,36,-1,1,0.550964355,0,6.635314941,57.5357666,5.271118164,3.627929688,87.22583008,3,9,3,5,0,185.42,29,2,7
Red,Lightweight,0.4375,0,0.015625,88.296875,2.6875,0.578125,8.9375,1,4,2,5,0,177.8,31,1,0,0.001464844,1.410644531,8.872070313,26.015625,0.971191406,28.52294922,597.5966797,3,12,0,2,4,177.8,32,12,6
Blue,CatchWeight,0,0.3125,0.8125,69.6875,2.1875,0.9375,46.6875,0,2,1,0,1,172.72,29,2,3,0.0625,0.375,2.3125,78.6875,5.875,2.0625,80.25,0,3,1,0,3,175.26,27,3,1
Blue,WomenFlyweight,0.06262207,0.002578735,2.583847046,42.51171875,6.097595215,2.571716309,44.93418884,3,4,6,3,2,157.48,29,-1,6,0.001953125,2.0078125,1.802734375,32.73242188,2.5234375,23.81640625,319.6660156,1,3,3,0,0,172.72,31,1,7
Blue,Featherweight,1.625,0,1.5,51.25,3.125,13,91.75,0,2,2,2,0,177.8,26,-1,1,0.171875,0,0,36.40625,1.6484375,0,6.9453125,0,4,3,4,0,177.8,29,4,1
Red,WomenFlyweight,0.125,0,1.125,20,10.5,4,214.25,0,2,1,1,0,170.18,31,2,2,0,0.59375,3.296875,8.046875,0.78125,9.25,429.265625,0,2,2,1,4,160.02,25,2,0
Blue,Welterweight,0.75,2.164550781,3.463867188,54.80078125,4.665527344,2.253417969,208.9326172,0,6,4,3,2,185.42,34,1,3,0,1.6875,3.625,10.5625,1.375,15.4375,195.375,0,5,0,0,3,180.34,38,5,2
Red,Featherweight,0.8203125,0.0546875,0.765625,21.2890625,1.8125,22.6796875,20.4140625,1,3,2,4,2,182.88,33,3,0,0.2890625,0.3671875,5.7890625,63.75,6.65625,0.640625,79.4609375,1,6,2,3,3,175.26,29,-1,0
Blue,Bantamweight,0.09375,0.125,0.90625,31.53125,1.5,3.59375,74.875,0,5,1,2,1,177.8,28,5,2,0.25,0.140625,1.5625,45.046875,1,1,21.296875,1,4,2,2,1,170.18,32,-1,2
Blue,Heavyweight,0.000976563,0.015625,5.776367188,14.87207031,4.58203125,9.005859375,431.8691406,0,3,5,2,0,198.12,34,-1,4,0.256347656,0.023681641,1.879272461,44.37158203,12.1706543,2.276733398,261.3093262,0,4,6,4,2,198.12,38,-1,2
Red,Featherweight,0.0078125,0.984375,6.3046875,8.625,0,1.765625,132.1796875,0,3,2,1,3,182.88,31,3,2,0.570402145,1.53E-05,0.851579189,51.92162251,4.906379223,10.34023285,91.78734851,0,4,9,7,0,190.5,34,4,7
Red,Welterweight,0.375,0.01965332,6.872344971,74.35046387,4.633789063,3.749816895,128.9945984,1,3,8,0,2,190.5,35,3,6,0.020874023,0.766052246,0.304992676,12.5473938,2.626464844,2.3800354,60.41546631,3,5,9,4,0,190.5,36,-1,2
Red,WomenBantamweight,0,0.3125,4.09375,11.4375,11.1875,12.4375,306.1875,1,4,1,2,0,175.26,31,4,3,0.28125,0.5,0.0625,17.2265625,10.6875,4.75,63.3203125,2,5,2,3,0,180.34,36,1,3
Red,WomenBantamweight,0.5,0.0625,0.0703125,59.28125,1.6328125,1.3359375,3.328125,0,3,3,1,1,172.72,32,-2,3,0.033203125,0.125,2.643554688,20.24804688,6.407226563,2.537109375,319.5537109,5,3,5,2,0,175.26,38,3,4
