"Winner","B_avg_SUB_ATT","B_avg_TD_att","B_avg_HEAD_landed","B_avg_BODY_landed","B_avg_LEG_landed","B_avg_GROUND_landed","B_avg_CTRL_time.seconds.","B_age","R_avg_SUB_ATT","R_avg_TD_att","R_avg_HEAD_landed","R_avg_BODY_landed","R_avg_LEG_landed","R_avg_GROUND_landed","R_avg_CTRL_time.seconds.","R_age"
"Blue",0,0,17.375,4.0625,5.375,1,2.75,32,0.000976563,0.035003662,7.78600502,4.562706947,2.686710358,1.077474594,4.609265327,36
"Blue",0.692871094,2.003051758,32.95300293,20.04467773,17.31384277,6.434570313,137.2324219,27,0.375,0.75,24.75,8.375,3.375,2.875,10.75,25
"Blue",1,18.03125,41.9375,11.625,12.8125,33.375,489.5625,29,0,2.322753906,27.22973633,8.828521729,3.937255859,2.292297363,70.46932983,35
"Red",0.334960938,2.881103516,91.48742676,5.710449219,6.503417969,15.25061035,186.5019531,41,0,3.600799561,55.64117432,16.28347778,8.101104736,5.698272705,183.9734192,37
"Blue",0.515625,4.03125,20.8125,10.640625,11.453125,11.046875,212.984375,37,0.706600011,0.692883126,9.000398291,3.886336827,3.916663908,1.393230374,65.58225521,36
"Red",0.809082031,0.977539063,41.92431641,7.206542969,2.874511719,0.810546875,235.8222656,43,0,1.374370575,13.07727051,6.878471375,1.025894165,0.751399994,55.24493408,35
"Red",0.005859375,1.58984375,58.6875,6.09375,5.615234375,10.27929688,273.7714844,36,1.500534058,3.172958374,11.55319214,4.812591553,2.448394775,3.774749756,236.2898407,31
"Blue",0.317565918,4.668151855,18.25756836,5.941101074,1.438171387,1.676147461,122.5257568,36,0.008300781,3.538574219,32.42822266,8.544921875,5.218261719,1.884765625,149.0756836,32
"Blue",0,2,28.375,13.25,14.125,7,138.5,26,0.0078125,3.39453125,15.10546875,10.17578125,6.46484375,3.03125,83.20703125,39
"Red",0.515625,0.87109375,21.6171875,10.19921875,5.22265625,4.45703125,127.5429688,30,0.191894531,0.014892578,60.02966309,7.662719727,34.33666992,2.325805664,17.15734863,28
"Red",0.25,2.875,11.875,2,0.75,3.875,85.125,22,0.000183105,8.223358154,35.30368042,15.9208374,5.135284424,4.008239746,129.6242371,36
"Blue",1.125488281,3.018066406,36.23388672,28.32080078,13.44824219,10.890625,137.9516602,33,0.203125,2.40625,25.62890625,18.4375,22.34765625,2.53125,34.97265625,28
"Red",0.1640625,2.85546875,18.21484375,2.734375,4.7421875,4.50390625,140.3710938,33,0.02204895,3.872879028,20.30818176,7.014389038,6.616607666,3.813171387,191.5683441,32
"Red",0,1.30859375,16.62890625,2.1640625,8.87890625,0.45703125,39.72265625,27,0,0.270629883,35.15930176,10.8494873,17.86083984,2.255859375,25.45166016,29
"Red",0.031738281,0.000488281,12.33642578,1.630859375,0.3359375,0.958984375,2.372558594,44,0.000614166,3.028884888,20.94520378,2.541996002,5.487350464,8.529689789,334.8390808,38
"Red",0.25,3.25,4.625,1.25,0.375,0.875,68.75,33,0.90234375,3.73046875,20.09765625,9.2109375,4.0859375,4.36328125,88.3828125,32
"Red",0.000427246,2.478027344,31.73156738,7.451782227,22.29779053,4.849365234,84.81018066,33,0.582519531,6.860656738,35.98696899,15.76916504,9.650161743,8.49105835,256.1848907,42
